Document_id,clean_text,Sentiment
62,"Natural Language Processing (NLP), which is a branch of artificial intelligence, includes speech synthesis, Speech recognition, and Machine translation. Natural Language Processing has a wide range of applications in the Indian context. Most of the rural Indian community is unable to make use of  the information technology revolution due to the dominance of English. Developments in the Natural processing Technology will offer universal access to information and services for more number of people in their mother language. The benefits that are expected to accrue as a result of widespread use of local language computing in India are discussed in this paper. India being a multilingual country with 22 official languages and about 1650 dialects, the research in Natural Language Processing  faces great challenges in India. This paper makes a survey  of the progress made in this field and explains the difficulties and challenges faced by the research community in the field of Natural Language Processing in India, and also suggests some practical solutions.",Negative
63,"An Evaluation of LOLITA and related Natural Language Processing Systems  Paul Callaghan  Submitted to the University of Durham for the degree of Ph.D., August 1997. This research addresses the question, ""how do we evaluate systems like LOLITA?"" LOLITA is the Natural Language Processing (NLP) system under development at the University of Durham. It is intended as a platform for building NL applications. We are therefore interested in questions of evaluation for such general NLP systems.",Neutral
64,"Previous work demonstrated that Web counts can be used to approximate bigram counts, suggesting that Web-based frequencies should be useful for a wide variety of Natural Language Processing (NLP) tasks. However, only a limited number of tasks have so far been tested using Web-scale data sets. The present article overcomes this limitation by systematically investigating the performance of Web-based models for several NLP tasks, covering both syntax and semantics, both generation and analysis, and a wider range of n-grams and parts of speech than have been previously explored. For the majority of our tasks, we find that simple, unsupervised models perform better when n-gram counts are obtained from the Web rather than from a large corpus. In some cases, performance can be improved further by using backoff or interpolation techniques that combine Web counts and corpus counts. However, unsupervised Web-based models generally fail to outperform supervised state-ofthe-art models trained on smaller corpora. We argue that Web-based models should therefore be used as a baseline for, rather than an alternative to, standard supervised models.",Positive
65,"This chapter examines the application of natural language processing to computerassisted language learning including the history of work in this field over the last thirtyfive years but with a focus on current developments and opportunities. This chapter focuses on applications of computational linguistics (CL) techniques to computer-assisted language learning (CALL). This always refers to programs designed to help people learn foreign languages, e.g., programs to help German high-school students learn French. CALL is a large field much larger than computational linguistics which no one can describe completely in a brief chapter. The focus of this chapter is therefore much narrower, viz., just on those areas of CALL to which CL has been applied or might be. CL programs process natural languages such as English and Spanish, and the techniques are therefore often referred to as natural language processing (NLP). ",Neutral
66,"Gaussian Processes (GPs) are a powerful mod-elling framework incorporating kernels and Bayesian inference, and are recognised as state-of-the-art for many machine learning tasks.",Neutral
67,"Confidence measures are a practical solution for improving the usefulness of Natural Language Processing applications. Confidence estimation is a generic machine learning approach for deriving confidence measures. We give an overview of the application of confidence estimation in various fields of Natural Language Processing, and present experimental results for speech recognition, spoken language understanding, and statistical machine translation.",Positive
68,"! lex-sign sense-id : sense-id dictionary ? = ""LDOCE"" ! lex-sign sense-id : sense-id ldb-entry-no ? = ""12364"" ! lex-sign sense-id : sense-id sense-no ? = ""0"".  When loaded into the LKB, (9) will be expanded into a fully-fledged representation for the transitive use of experience; by integrating word-specific information provided by (9) with the information encoded by the LKB type strict-trans-sign. Thus, although neither LDOCE, LLCE or the earlier subcategorised lexicon contain all the information about psychological verbs defined in Sanfilippo's type system, by using the conjunction of information available from all three, it proved possible to effectively enrich this information at the same time as mapping it into a formal representation.  4.2.5 Towards a Multilingual LKB  A goal of ACQUILEX is to demonstrate that an LKB can be produced that usefully exploits various MRD sources and integrates multilingual information. ",Neutral
69,"A fundamental issue in natural language processing is the prerequisite of an enormous quantity of preprogrammed knowledge concerning both the language and the domain under examination. Manual acquisition of this knowledge is tedious and error prone. Development of an automated acquisition process would prove invaluable. This paper references and overviews a range of the systems that have been developed in the domain of machine learning and natural language processing. Each system is categorised into either a symbolic or connectionist paradigm, and has its own characteristics and limitations described",Negative
70,"Kohonen's Self-Organizing Map (SOM) is one of the most popular artificial neural network algorithms. Word category maps are SOMs that have been organized according to word similarities, measured by the similarity of the short contexts of the words. Conceptually interrelated words tend to fall into the same or neighboring map nodes. Nodes may thus be viewed as word categories. Although no a priori information about classes is given, during the self-organizing process a model of the word classes emerges. The central topic of the thesis is the use of the SOM in natural language processing. The approach based on the word category maps is compared with the methods that are widely used in artificial intelligence research. Modeling gradience, conceptual change, and subjectivity of natural language interpretation are considered. The main application area is information retrieval and textual data mining for which a specific SOM-based method called the WEBSOM has been developed.",Neutral
71,"Diff is a software program that detects differences between two data sets and is useful in natural language processing. This paper shows several examples of the application of diff. They include the detection of differences between two different datasets, extraction of rewriting rules, merging of two different datasets, and the optimal matching of two different data sets. Since diff comes with any standard UNIX system, it is readily available and very easy to use. Our studies showed that diff is a practical tool for research into natural language processing.",Neutral
72,"We describe a single convolutional neural network architecture that, given a sentence, outputs a host of language processing predictions: part-of-speech tags, chunks, named entity tags, semantic roles, semantically similar words and the likelihood that the sentence makes sense (grammatically and semantically) using a language model. The entire network is trained jointly on all these tasks using weight-sharing, an instance of multitask learning. All the tasks use labeled data except the language model which is learnt from unlabeled text and represents a novel form of semi-supervised learning for the shared tasks. We show how both multitask learning and semi-supervised learning improve the generalization of the shared tasks, resulting in stateof-the-art performance.",Neutral
73,"Text statistics are frequently used in stylometry and cryptography studies. In this paper, some text statistics tools are developed in ISO Prolog for natural language processing. Details are given on the usage of 21 user-callable predicates. Logic and limitations of the program are also discussed.",Neutral
74,"This paper presents a workbench built by Priberam Informatica for the development of the companys natural language processing technology. This workbench includes a set of linguistic resources and software tools that have been applied in a considerable number of practical purposes, covering proofing tools, text processing and information retrieval.",Neutral
75,"Natural language processing appears on the surface to be a strongly symbolic activity. Words are symbols that stand for objects and concepts in the real world, and they are put together into sentences that obey well-specified grammar rules. It is no surprise that for several decades natural language processing research has been dominated by the symbolic approach. Linguists have focused on describing language systems based on versions of the Universal Grammar. Artificial Intelligence researchers have built large programs where linguistic and world knowledge is expressed in symbolic structures, usually in LISP. Relatively little attention has been paid to various cognitive effects in language processing. Human language users perform differently from their linguistic competence, that is, from their knowledge of how to communicate correctly using language. Some linguistic structures (such as deep embeddings) are harder to deal with than others. ",Negative
76,"A general, reusable computational resource has been developed within the Penman text generation project for organizing domain knowledge appropriately for linguistic realization. This resource, called the upper model, provides a domain and task independent classification system  that supports sophisticated natural language processing while significantly simplifying the interface between domain-specific knowledge and general linguis- tic resources. This paper presents the results of our experiences in designing and using the upper model in a variety of applications over the past 5 years. In particular, we present our conclusions concerning the appropriate organization of an upper model, its domain- independence, and the types of inter-relationships that need to be supported between upper model and grammar and semantics.",Neutral
77,"Natural language processing #NLP# programs are  confronted with various diffculties in processing HTML and XML documents, and have the potential to produce better results if linguistic information is annotated in the source texts. Wehave therefore developed the Linguistic Annotation Language  #or LAL#, which is an XML-compliant tag set for assisting natural language processing programs, and NLP tools such as parsers and machine translation programs which can accept LAL-annotated input. In addition, we have developed a LAL annotation editor which allows users to annotate documents graphically without seeing tags. Further, we have conducted an experiment to check the translation quality improvementby using LAL annotation.",Positive
78,"After twenty years of disfavor, a technology has returned which imitates the processes of the brain. Natural language experiments (Sejnowski & Rosenberg: 1986) demonstrate that neural network computing architecture can learn from actual spoken language, observe rules of pronunciation, and reproduce sounds from the patterns derived by its own processes. The consequences of neural network computing for natural language processing activities, including second language acquisition and representation, machine translation, and knowledge processing may be more convulsively revolutionary than anything imagined in current technology. This paper introduces neural network concepts to a traditional natural language processing audience.",Neutral
79,Research in Natural Language Processing (NLP) has in recent years benefited from the enormous amount of raw textual data available on the World Wide Web. The presence of standard search engines has made this data accessible to computational linguists as a corpus of a size that had never existed before.,Positive
80,Natural language processing is process to handle the linguistic languages to understand the language in to more detailed format. It will providing us will the complete grammatical structure of the word of linguistic language into English. In the present system such as dictionary we only have the word with its meaning but it does provide us grammar. In our proposed system we are presenting the parsing tree which shows the complete grammatical structure.It will show all the tags chunks etc which help to understand the language in more detailed way.,Positive
81,"This article was hard to follow, but it seenLed to simply illustrate that just about anything can be compiled into units and links given a sufficiently broad definition of those primitives",Neutral
82,"Natural Language Processing (NLP) is an effective approach for bringing improvement in educational setting. Implementing NLP involves initiating the process of learning through the natural acquisition in the educational systems. It is based on effective approaches for providing a solution for various problems and issues in education. Natural Language Processing provides solution in a variety of different fields associated with the social and cultural context of language learning. It is an effective approach for teachers, students, authors and educators for providing assistance for writing, analysis, and assessment procedures. Natural Language Processing is widely integrated with the large number of educational contexts such as research, science, linguistics, e-learning, evaluations system, and contributes resulting positive outcomes in other educational settings such as schools, higher education system, and universities. The paper aims to address the process of natural language learning and its implication in the educational settings. The study also highlights how NLP can be utilized with scientific computer programs to enhance the process of education. The study follows qualitative approach. Data is collected from the secondary resources in order to identify problems faced by the teachers and students for understanding the context due to obstacles of language. Results provide effectiveness of linguistic tools such as grammar, syntax, and textual patterns that are fairly productive in educational context for learning and assessment",Neutral
83,"We summarize our experience using FrameNet in two rather different projects in natural language processing (NLP). We conclude that NLP can benefit from FrameNet in different ways, but we sketch some problems that need to be overcome.",Neutral
84,A semi-automated approach for the design of databases in enhanced-ERD notation is presented. It focuses on the very early stage of the database development which is the stage of user requirement analysis. It is supposed to be used between the requirements determination stage and analysis. The approach provides the opportunity of using natural language text documents as a source of knowledge for semi-automated generation of a conceptual data model. The system performs information extraction by parsing the syntax of the sentences and semantically analyzing their content.,Neutral
85,"We present a formal description of a logical language that is based on a propositional semantic network. Variables in this language are not atomic and have potentially complex structure. We start from the individual components of a semantic network system, atomic nodes and relations that connect nodes, and provide a complete specification for the structure of nodes and a subsumption procedure between nodes. We differ from other work in subsumption in that the representation language is uniform and based on an extended first-order predicate logic. The language is particularly suitable for addressing some problems associated with natural language processing, namely the representation of complex natural language descriptions and inference associated with description subsumption.",Negative
86,"A number of powerful modelling techniques have been developed in recent years to compress natural language text. The best of these are adaptive models operating on the character and word level which are able to perform almost as well as humans at predicting text. We show how to apply character based methods to five areas where language modelling is critical, providing novel solutions to each of these problems.",Neutral
87,"This report describes research done in the context of a subproject of the HPCN project IMPACT. The IMPACT project is headed by the ING bank and is founded by the organization for High Performance Computing and Networking (HPCN). The aim of the specific subproject, in the context of which this report has been written, is to develop (techniques for) natural language interfaces to information resources, focusing on the use of high-performance computers to achieve acceptable response times.",Positive
88,"XML information retrieval (XML-IR) systems respond to user queries with results more specific than documents. XML-IR queries contain both content and structural requirements traditionally expressed in a formal language. However, an intuitive alternative is natural language queries (NLQs). Here, we discuss three approaches for handling NLQs in an XML-IR system that are comparable to, and even outperform formal language queries.",Neutral
89,"We describe the design and use of the Stanford CoreNLP toolkit, an extensible pipeline that provides core natural language analysis. This toolkit is quite widely used, both in the research NLP community and also among commercial and govern-ment users of open source NLP technology. We suggest that this follows from a simple, approachable design, straight-forward interfaces, the inclusion of ro-bust and good quality analysis compo-nents, and not requiring use of a large amount of associated baggage.",Positive
90,"In this paper, we present and compare automatically generated titles for machine-translated documents using several different statistics-based methods. A Naïve Bayesian, a K-Nearest Neighbour, a TF-IDF and an it-erative Expectation-Maximization method for title gen-eration were applied to 1000 original English news documents and again to the same documents translated from English into Portuguese, French or German and back to English using SYSTRAN. The AutoSummarization function of Microsoft Word was used as a base line. Results on several metrics show that the statistics-based methods of title generation for machine-translated documents are fairly language independent and title generation is possible at a level approaching the accuracy of titles generated for the original English documents.",Neutral
91, This paper reports the preliminary experiments in a generalpurpose reasoning system to carry out natural language comprehension and production using a reasoning-learning mechanism designed to realize general intelligence,Neutral
92,"In this paper we describe the organization and contents of the knowledge base (kb) developed for the processing of patient discharge summaries (pdss) letters sent by a hospital consultant to a patient's own doctor. The processing system itself can be seen as a specialization of the Generic Information Extraction System outlined by Hobbs (Hobbs 1993). As it is stated in (Jacobs et al 1993) among the most succesfull information extraction systems ""the main differentiator is not in the basic processing algorithms but in the way that knowledge ends up getting assigned to various system components"". The kb is the major component in the processing of natural language by our system and includes both the conceptual and lexical knowledge represented in a uniform way. Conceptual knowledge in the kb is built and organized in a topdown fashion and explicitly targeted to represent information which was identified by domain experts to be important.",Positive
93,"Crime reporting needs to be possible 24/7. Although 911 and tip-lines are the most publicized reporting mechanisms, several other options exist, ranging from in-person reporting to online submissions. Internet-based crime reporting systems allow victims and witnesses of crime to report incidents to police 24/7 from any location. However, these existing e-mail and text-based systems provide little support for witnesses ’ memory recall leading to reports with less information and lower accuracy. These systems also do not facilitate reuse and integration of the reported information with other information systems.",Negative
94,"Applying Natural Language Processing techniques to biomedical text as a potential aid to curation has become the focus of intensive research. However, developing integrated systems which address the curators ’ real-world needs has been studied less rigorously. This paper addresses this question and presents generic tools developed to assist FlyBase curators. We discuss how they have been integrated into the curation workflow and present initial evidence about their effectiveness. ",Neutral
95,"We present a formal description of a logical language that is based on a propositional semantic network. Variables in this language are not atomic and have potentially complex structure. We start from the individual components of a semantic network system, atomic nodes and relations that connect nodes, and provide a complete specification for the structure of nodes and a subsumption procedure between nodes. We differ from other work in subsumption in that the representation language is uniform and based on an extended first-order predicate logic. The language is particularly suitable for addressing some problems associated with natural language processing, namely the representation of complex natural language descriptions and inference associated with description subsumption.",Negative
96,"This paper describes a lexical organization in which &quot;senses &quot; are represented in their own right, along with &quot;words &quot; and &quot;phrases&quot;, by distinct data items. The objective of the scheme is to facilitate recognition and employment of synonyms and stock phrases by programs which process natural language. Besides presenting the proposed organization, the paper characterizes the lexical &quot;senses &quot; which result.",Neutral
97,"In this paper, we will present three “browsing ” systems that should save user’s time. The first uses named entities and gives a way to reduce search space. By using a information visualization system, the user can comprehend more easily the content of a corpus or a document. Named entities are highlighted for quick reading, temporal and geographic representation gives a global view of the result of a query. All these browse and search helps seem to be very useful. Nevertheless, an evaluation would give more practical results.",Positive
98,We propose a simple solution to the sequence labeling problem based on an extension of weighted decomposition kernels. We additionally introduce a multiinstance kernel approach for representing lexical word sense information. These new ideas have been preliminarily tested on named entity recognition and PP attachment disambiguation. We finally suggest how these techniques could be potentially merged using a declarative formalism that may provide a basis for the integration of multiple sources of information when using kernel-based learning in NLP.,Positive
